ID;TITLE;YEAR;KEY;PUBLISHED INTO;PUBLICATION TYPE;BIBTEX;DATABASE;TYPE OF CONTRIBUTION;ABSTRACT;TREND;LLM ITERACTION;CONTEXTUAL INFO;APPROACH;SCOPE;FOCUS;BENCHMARK;LLMs USED;EVALUATION METRIC;TOOL
P044;Test Wars: A Comparative Study of SBST, Symbolic Execution, and LLM-Based Approaches to Unit Test Generation;2025.0;Abdullin2025;C: ICST;Conference;"@Inproceedings{Abdullin2025 ,
 author = {Azat Abdullin and Pouria Derakhshanfar and Annibale Panichella},
 title = {Test Wars: A Comparative Study of SBST, Symbolic Execution, and LLM-Based Approaches to Unit Test Generation},
 booktitle = {Proceedings of the 18th IEEE International Conference on Software Testing, Verification and Validation (ICST) 2025},
 series = {ICST '25},
 editor = {},
 volume = {},
 year = {2025},
 publisher = {Association for Computing Machinery},
 address = {Naples, Italy},
 pages = {--},
 doi = {10.48550/arXiv.2501.10200},
 url = {https://doi.org/10.48550/arXiv.2501.10200}
 }";Orig;survey;Unit tests represent the most basic level of testing within the software testing lifecycle and are crucial to ensuring software correctness. Designing and creating unit tests is a costly and labor-intensive process that is ripe for automation. Recently, Large Language Models (LLMs) have been applied to various aspects of software development, including unit test generation. Although several empirical studies evaluating LLMs' capabilities in test code generation exist, they primarily focus on simple scenarios, such as the straightforward generation of unit tests for individual methods. These evaluations often involve independent and small-scale test units, providing a limited view of LLMs' performance in real-world software development scenarios. Moreover, previous studies do not approach the problem at a suitable scale for real-life applications. Generated unit tests are often evaluated via manual integration into the original projects, a process that limits the number of tests executed and reduces overall efficiency. To address these gaps, we have developed an approach for generating and evaluating more real-life complexity test suites. Our approach focuses on class-level test code generation and automates the entire process from test generation to test assessment. In this work, we present AgoneTest: an automated system for generating test suites for Java projects and a comprehensive and principled methodology for evaluating the generated test suites. Starting from a state-of-the-art dataset (i.e., Methods2Test), we built a new dataset for comparing human-written tests with those generated by LLMs. Our key contributions include a scalable automated software system, a new dataset, and a detailed methodology for evaluating test quality.;Reflections;Hybrid Prompting;Alone;;;;GitBug;CodeLlama, GPT-Family, Llama-Family;Test Coverage, Static Analysis Metrics, Other, Mutation Rate;-
P045;Using large language models to generate junit tests: An empirical study;2024.0;Siddiq2024;C:EASE;Conference;"@Inproceedings{Siddiq2024 ,
 author = {Siddiq, Mohammed Latif and Da Silva Santos, Joanna Cecilia and Tanvir, Ridwanul Hasan and Ulfat, Noshin and Al Rifat, Fahmid and Carvalho Lopes, Vinícius},
 title = {Using large language models to generate junit tests: An empirical study},
 booktitle = {Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering},
 series = {EASE '24},
 editor = {},
 volume = {},
 year = {2024},
 publisher = {Association for Computing Machinery},
 address = {Salerno, Italy},
 pages = {313--322},
 doi = {10.1145/3661167.3661216},
 url = {https://doi.org/10.1145/3661167.3661216}
 }";Orig;survey;Acode generation model generates code by taking a prompt from a code comment, existing code, or a combination of both. Although codegenerationmodels(e.g., GitHubCopilot)areincreasinglybeing adopted in practice, it is unclear whether they can successfully be used for unit test generation without fine-tuning for a strongly typed language like Java. To fill this gap, we investigated how well three models (Codex, GPT-3.5-Turbo, and StarCoder) can generate unit tests. We used two benchmarks (HumanEval and Evosuite SF110) to investigate the effect of context generation on the unit test generation process. We evaluated the models based on compilation rates, test correctness, test coverage, and test smells. We found that the Codex model achieved above 80% coverage for the HumanEval dataset, but no model had more than 2% coverage for the EvoSuite SF110 benchmark.Thegeneratedtestsalsosufferedfromtestsmells, such as Duplicated Asserts and Empty Tests.;Reflections;Pure Prompting;Alone;;;;Other;Other, GPT-Family;% Test Smells, Test Coverage, % Build;-
P046;Generating Software Tests for Mobile Applications Using Fine-Tuned Large Language Models;2024.0;Hoffman2024;C: AST;Conference;"@Inproceedings{Hoffman2024 ,
 author = {Hoffmann, Jacob and Frister, Demian},
 title = {Generating Software Tests for Mobile Applications Using Fine-Tuned Large Language Models},
 booktitle = {Proceedings of the 5th ACM/IEEE International Conference on Automation of Software Test (AST 2024)},
 series = {AST '24},
 editor = {},
 volume = {},
 year = {2024},
 publisher = {Association for Computing Machinery},
 address = {Lisbon, Portugal},
 pages = {76--77},
 doi = {10.1145/3644032.3644454},
 url = {https://doi.org/10.1145/3644032.3644454}
 }";Orig;research contribution;Check, too much long to be included here;Unit Test Generation;Pure Prompting;Alone;Tool/Approach;Functional;;MBPP, HumanEval;Mistral, CodeLlama, Llama-Family;% Pass;-
P047;FlakyFix: Using Large Language Models for Predicting Flaky Test Fix Categories and Test Code Repair;2024.0;Fatima2024;J: TSE;Journal;"@article{Fatima2024,
 title = {FlakyFix: Using Large Language Models for Predicting Flaky Test Fix Categories and Test Code Repair},
 author = {Fatima, Sakina and Hemmati, Hadi and C. Briand, Lionel},
 journal = {IEEE Transactions on Software Engineering},
 month = {},
 year = {2025},
 volume = {50},
 number = {12},
 pages = {3146-3171},
 address = {Los Alamitos, CA, USA},
 publisher = {IEEE Computer Society},
 doi = {10.1109/TSE.2024.3472476},
 url = {https://doi.org/10.1109/TSE.2024.3472476}
 }";Orig;research contribution;Flaky tests are problematic because they nondeterministically pass or fail for the same software version under test, causing confusion and wasting development effort. While machine learning models have been used to predict flakiness and its root causes, there is much less work on providing support to f ix the problem. To address this gap, in this paper, we focus on predicting the type of fix that is required to remove flakiness and then repair the test code on that basis. We do this for a subset of flaky tests where the root cause of flakiness is in the test itself and not in the production code. One key idea is to guide the repair process with additional knowledge about the test’s flakiness in the form of its predicted fix category. Thus, we first propose a framework that automatically generates labeled datasets for 13 fix categories and trains models to predict the fix category of a flaky test by analyzing the test code only. Our experimental results using code models and few-shot learning show that we can correctly predict most of the fix categories. To show the usefulness of such fix category labels for automatically repairing flakiness, we augment the prompts of GPT 3.5 Turbo, a Large Language Model (LLM), with such extra knowledge to request repair suggestions. The results show that our suggested fix category labels, complemented with incontext learning, significantly enhance the capability of GPT 3.5 Turbo in generating fixes for flaky tests. Based on the execution and analysis of a sample of GPT-repaired flaky tests, we estimate that a large percentage of such repairs, (roughly between 51% and 83%) can be expected to pass. For the failing repaired tests, on average, 16% of the test code needs to be further changed for them to pass.;Test Augmentation or Improvement;Pure Prompting;Alone;Tool/Approach;Functional;;Other;GPT-Family;% Pass, BLEU, CodeBLEU;FlakyFix
P048;First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents;;Bergsmann2024;C: A-TEST;Conference;"@Inproceedings{Bergsmann2024 ,
 author = {Severin Bergsmann and Alexander Schmidt and Stefan Fischer and Rudolf Ramler},
 title = {First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents},
 booktitle = {Proceedings of the 15th ACM International Workshop on Automating Test Case Design, Selection and Evaluation, Co-located with: SSTA 2024},
 series = {},
 editor = {},
 volume = {},
 year = {2024},
 publisher = {Association for Computing Machinery, Inc},
 address = {Vienna, Austria},
 pages = {12-15},
 doi = {10.1145/3678719.3685692},
 url = {https://dl.acm.org/doi/10.1145/3678719.3685692},
 number = {},
 month = {9},
 organization = {},
 note = {},
 }";Orig;research contribution;"Gherkin is a domain-specific language for describing test scenar-
ios in natural language, which are the basis for automated accep-
tance testing. The emergence ofLarge Language Models (LLMs) has
opened up new possibilities for processing such test specifications
and for generating executable test code. This paper investigates the
feasibility ofemploying LLMs to execute Gherkin test specifications
utilizing the AutoGen multi-agent framework. Our findings show
that our LLM agent system is able to automatically run the given
test scenarios by autonomously exploring the system under test,
generating executable test code on the fly, and evaluating execution
results. We observed high success rates for executing simple as well
as more complex test scenarios, but we also identified difficulties
regarding failure scenarios and fault detection.";High-Level Test Gen;Pure Prompting;Alone;Tool/Approach;Functional;;No Bmk-Ds;GPT-Family;% Pass, Execution Time, Other;-
P049;Generating Accurate Assert Statements for Unit Test Cases using Pretrained Transformers;2022.0;Tufano2022;C: AST;Conference;"@Inproceedings{Tufano2022 ,
 author = {Tufano, Michele and Drain, Dawn and Svyatkovskiy, Alexey and Sundaresan, Neel},
 title = {Generating accurate assert statements for unit test cases using pretrained transformers},
 booktitle = {Proceedings of the 3rd ACM/IEEE International Conference on Automation of Software Test},
 series = {AST '22},
 editor = {},
 volume = {},
 year = {2022},
 publisher = {Association for Computing Machinery},
 address = {Pittsburgh, Pennsylvania},
 pages = {54--64},
 doi = {10.1145/3524481.3527220},
 url = {https://doi.org/10.1145/3524481.3527220}
 }";Orig;research contribution;Unit testing represents the foundational basis of the software testing pyramid, beneath integration and end-to-end testing. Automated software testing researchers have proposed a variety of techniques to assist developers in this time-consuming task. In this paper we present an approach to support developers in writing unit test cases by generating accurate and useful assert statements. Our approach is based on a state-of-the-art transformer model initially pretrained on an English textual corpus. This semantically rich model is then trained in a semisupervised fashion on a large corpus of source code. Finally, we f inetune this model on the task of generating assert statements for unit tests. The resulting model is able to generate accurate assert statements for a given method under test. In our empirical evaluation, the model was able to predict the exact assert statements written by developers in 62% of the cases in the first attempt. The results show 80% relative improvement for top-1 accuracy over the previous RNN-based approach in the literature. We also show the substantial impact of the pretraining process on the performances of our model, as well as comparing it with assert auto-completion task. Finally, we demonstrate how our approach can be used to augment EvoSuite test cases, with additional asserts leading to improved test coverage.;Oracle Generation;Pure Prompting;Fine-Tune;Tool/Approach;Functional;;Defects4J, CodeSearchNet;BART;Test Coverage, Other;-
P050;On Learning Meaningful Assert Statements for Unit Test Cases;2020.0;Watson2020;C: ICSE;Conference;"@Inproceedings{Watson2020 ,
 author = {Cody Watson and Michele Tufano and Kevin Moran and Gabriele Bavota and Denys Poshyvanyk},
 title = {On learning meaningful assert statements for unit test cases},
 booktitle = {Proceedings - International Conference on Software Engineering},
 series = {ICSE '20},
 editor = {},
 volume = {},
 year = {2020},
 publisher = {IEEE Computer Society},
 address = {Seoul, South Korea},
 pages = {1398--1409},
 doi = {10.1145/3377811.3380429},
 url = {https://doi.org/10.1145/3377811.3380429}
 }";Orig;research contribution;"Software testing is an essential part of the software lifecycle and
requires a substantial amount of time and effort. It has been estimated
that software developers spend close to 50% of their time on
testing the code they write. For these reasons, a long standing goal
within the research community is to (partially) automate software
testing. While several techniques and tools have been proposed
to automatically generate test methods, recent work has criticized
the quality and usefulness of the assert statements they generate.
Therefore, we employ a Neural Machine Translation (NMT) based
approach called Atlas (AuTomatic Learning of Assert Statements)
to automatically generate meaningful assert statements for test
methods. Given a test method and a focal method (i.e., the main
method under test), Atlas can predict a meaningful assert statement
to assess the correctness of the focal method. We applied
Atlas to thousands of test methods from GitHub projects and it
was able to predict the exact assert statement manually written
by developers in 31% of the cases when only considering the top-
1 predicted assert. When considering the top-5 predicted assert
statements, Atlas is able to predict exact matches in 50% of the
cases. These promising results hint to the potential usefulness of
our approach as (i) a complement to automatic test case generation
techniques, and (ii) a code completion support for developers, who
can benefit from the recommended assert statements while writing
test code.";Oracle Generation;;;Tool/Approach;Functional;;Custom;ATLAS;BLEU;ATLAS
P051;AsserT5: Test Assertion Generation Using a Fine-Tuned Code Language Model;2025.0;Primbs2025;C: AST;Conference;"@Inproceedings{Primbs2025 ,
 author = {Severin Primbs and Benedikt Fein and Gordon Fraser},
 title = {AsserT5: Test Assertion Generation Using a Fine-Tuned Code Language Model},
 booktitle = {Proceedings 6th ACM/IEEE International Conference on Automation of Software Test (AST 2025)},
 series = {AST '25},
 editor = {},
 volume = {},
 year = {2025},
 publisher = {Association for Computing Machinery},
 address = {Ontario, Canada},
 pages = {},
 doi = {10.48550/arXiv.2502.02708},
 url = {https://doi.org/10.48550/arXiv.2502.02708}
 }";Orig;research contribution;Writing good software tests can be challenging, therefore approaches that support developers are desirable. While generating complete tests automatically is such an approach commonly proposed in research, developers may already have specific test scenarios in mind and thus just require help in selecting the most suitable test assertions for these scenarios. This can be done using deep learning models to predict assertions for given test code. Prior research on assertion generation trained these models specifically for the task, raising the question how much the use of larger models pre-trained on code that have emerged since then can improve their performance. In particular, while abstracting identifiers has been shown to improve specifically trained models, it remains unclear whether this also generalises to models pre-trained on non-abstracted code. Finally, even though prior work demonstrated high accuracy it remains unclear how this translates into the effectiveness of the assertions at their intended application -- finding faults. To shed light on these open questions, in this paper we propose AsserT5, a new model based on the pre-trained CodeT5 model, and use this to empirically study assertion generation. We find that the abstraction and the inclusion of the focal method are useful also for a fine-tuned pre-trained model, resulting in test assertions that match the ground truth assertions precisely in up to 59.5\% of cases, more than twice as precise as prior models. However, evaluation on real bugs from the Defects4J dataset shows that out of 138 bugs detectable with assertions in real-world projects, AsserT5 was only able to suggest fault-finding assertions for 33, indicating the need for further improvements.;Oracle Generation;Pure Prompting;Alone;Tool/Approach;Functional;;Defects4J, Methods2Test;ATLAS, TOGA, BART, AssertT5, CodeT5, GPT-Family;% Build,ML-metrics, BLEU, Bugs Rate;
P054;Simulink Mutation Testing using CodeBERT;2025.0;ZhangAST2025;C: AST;Conference;"@Inproceedings{ZhangAST2025 ,
 author = {Zhang, Jingfan and Ghobari, Delaram and Sabetzadeh, Mehrdad and Nejati, Shiva},
 title = {Simulink Mutation Testing using CodeBERT},
 booktitle = {Proceedings 6th ACM/IEEE International Conference on Automation of Software Test (AST 2025)},
 series = {AST '25},
 editor = {},
 volume = {},
 year = {2025},
 publisher = {Association for Computing Machinery},
 address = {Ontario, Canada},
 pages = {},
 doi = {10.1109/AST66626.2025.00009},
 url = {https://doi.org/10.1109/AST66626.2025.00009}
 }";Orig;research contribution;We present BERTiMuS, an approach that uses CodeBERTto generate mutants for Simulink models. BERTiMuS converts Simulink models into textual representations, masks tokens from the derived text, and uses CodeBERT to predict the masked tokens. Simulink mutants are obtained by replacing the masked tokens with predictions from CodeBERT. We evaluate BERTiMuS using Simulink models from an industrial benchmark, and compare it with FIM– a state-of-the-art mutation tool for Simulink. We show that, relying exclusively on CodeBERT, BERTiMuS can generate the block-based Simulink mutation patterns documented in the literature. Further, our results indicate that: (a) BERTiMuS is complementary to FIM, and (b) when one considers a requirements-aware notion of mutation testing, BERTiMuS outperforms FIM.;Test Augmentation or Improvement;Hybrid Prompting;Fine-Tune;Tool/Approach;Functional;;Custom;CodeBert;Mutation Rate;-
P055;VALTEST: Automated Validation of Language Model Generated Test Cases;2024.0;Taherkhani2024;arXiv;arXiv;"@misc{Taherkhani2024,
 title = {VALTEST: Automated Validation of Language Model Generated Test Cases},
 author = {Hamed Taherkhani and Hadi Hemmati},
 archivePrefix = {arXiv Preprint},
 year = {2024},
 publisher = {arXiv},
 doi = {10.48550/arXiv.2411.08254},
 url = {https://doi.org/10.48550/arXiv.2411.08254}
 }";Orig;research contribution;Large Language Models (LLMs) have demonstrated significant potential in automating software testing, specifically in generating unit test cases. However, the validation of LLM-generated test cases remains a challenge, particularly when thegroundtruthisunavailable.ThispaperintroducesVALTEST,anovelframework designed to automatically validate test cases generated by LLMs by leveraging token probabilities. We evaluate VALTEST using nine test suites generated from three datasets—HumanEval, MBPP, and LeetCode—across three LLMs—GPT-4o, GPT-3.5-turbo, and LLama3.1 8b. By extracting statistical features from token probabilities, we train a machine learning model to predict test case validity. VALTEST increases the validity rate of test cases by 6.2% to 24%, depending on the dataset and LLM. Our results suggest that token probabilities are reliable indicators for distinguishing between valid and invalid test cases, which provides a robust solution for improving the correctness of LLM-generated test cases in software testing. In addition, we found that replacing the identified invalid test cases by VALTEST, using a Chain-of-Thought prompting results in a more effective test suite while keeping the high validity rates;Unit Test Generation;Hybrid Prompting;Alone;Tool/Approach;Functional;;HumanEval, MBPP, LeetCode;Llama-Family, GPT-Family;Test Coverage, Mutation Rate;-
P056;Codet: Code Generation with Generated Tests;2022.0;Chen2023;arXiv;arXiv;"@InProceedings{Chen2023,
author = {Bei Chen and Fengji Zhang and Anh Nguyen and Daoguang Zan and Zeqi Lin and Jian{-}Guang Lou and Weizhu Chen},
booktitle = {The Eleventh International Conference on Learning Representations},
series =  {ICLR '23},
title = {{ CodeT: Code Generation with Generated Tests }},
year = {2023},
volume = {},
ISSN = {},
pages = {171-174},
doi = {10.48550/arXiv.2207.10397},
url = {https://doi.org/10.48550/arXiv.2207.10397},
publisher = {IEEE Computer Society},
address = {Kigali, Rwanda}}";Orig;research contribution;The task of generating code solutions for a given programming problem can benef it from the use of pre-trained language models such as Codex, which can produce multiple diverse samples. However, a major challenge for this task is to select the most appropriate solution from the multiple samples generated by the pretrained language models. A natural way to evaluate the quality and correctness of a code solution is to run it against a set of test cases, but the manual creation of such test cases is often costly and time-consuming. In this paper, we propose a novel method, CODET, that leverages the same pre-trained language models to automatically generate test cases for the code samples, thus reducing the human effort and increasing the coverage of the test scenarios. CODET then executes the code samples using the generated test cases and performs a dual execution agreement, which considers both the consistency of the outputs against the generated test cases and the agreement of the outputs with other code samples. We conduct comprehensive experiments on four benchmarks, HumanEval, MBPP, APPS, and CodeContests, using five different pre-trained language models with varying sizes and capabilities. Our results show that CODET can significantly improve the performance of code solution selection over previous methods, achieving remarkable and consistent gains across different models and benchmarks. For instance, CODET improves the pass@1 metric on HumanEval to 658%, which represents an absolute improvement of 188% over the code-davinci-002 model, and an absolute improvement of more than 20% over the previous state-of-the-art results;Unit Test Generation;Pure Prompting;Alone;Tool/Approach;Functional;;HumanEval, MBPP, APPS;OpenAI Codex, Codegen, Other;Test Coverage;CodeT
P057;The Prompt Alchemist: Automated LLM-Tailored Prompt Optimization for Test Case Generation;2025.0;Gao2025;arXiv;arXiv;"@misc{Gao2025,
 author = {Shuzheng Gao and Chaozheng Wang and Cuiyun Gao and Xiaoqian Jiao and Chun Yong Chong and Shan Gao and Michael R Lyu},
 title = {The Prompt Alchemist: Automated LLM-Tailored Prompt Optimization for Test Case Generation},
 archivePrefix = {arXiv Preprint},
 year = {2025},
 publisher = {arXiv},
 doi = {10.48550/arXiv.2501.01329},
 url = {https://doi.org/10.48550/arXiv.2501.01329}
 }";Orig;research contribution;Test cases are essential for validating the reliability and quality of software applications. Recent studies have demonstrated the capability of Large Language Models (LLMs) to generate useful test cases for given source code. However, the existing work primarily relies on human-written plain prompts, which often leads to suboptimal results since the performance of LLMs can be highly influenced by the prompts. Moreover, these approaches use the same prompt for all LLMs, overlooking the fact that different LLMs might be best suited to different prompts. Given the wide variety of possible prompt formulations, automatically discovering the optimal prompt for each LLM presents a significant challenge. Although there are methods on automated prompt optimization in the natural language processing field, they are hard to produce effective prompts for the test case generation task. First, the methods iteratively optimize prompts by simply combining and mutating existing ones without proper guidance, resulting in prompts that lack diversity and tend to repeat the same errors in the generated test cases. Second, the prompts are generally lack of domain contextual knowledge, limiting LLMs' performance in the task.;Unit Test Generation;Pure Prompting;Alone;Tool/Approach;Functional;;Defects4J;Qwen 2, Llama-Family, GPT-Family;Test Coverage;-
P058;LLM for Test Script Generation and Migration: Challenges, Capabilities, and Opportunities;2023.0;Yu2023;C: QRS;Conference;"@Inproceedings{Yu2023 ,
 author = {Shengcheng Yu and Chunrong Fang and Yuchen Ling and Chentian Wu and Zhenyu Chen},
 title = {LLM for Test Script Generation and Migration: Challenges, Capabilities, and Opportunities},
 booktitle = {Proceedings of IEEE 23rd International Conference on Software Quality, Reliability and Security, QRS},
 series = {},
 editor = {},
 volume = {},
 year = {2023},
 publisher = {Institute of Electrical and Electronics Engineers Inc.},
 address = {Chiang Mai, Thailand},
 pages = {206-217},
 doi = {10.1109/QRS60937.2023.00029},
 url = {https://doi.org/10.1109/QRS60937.2023.00029},
 number = {},
 month = {},
 organization = {},
 note = {},
 }";Orig;research contribution;"This paper investigates the application of large language
models (LLM) in the domain of mobile application test
script generation. Test script generation is a vital component
of software testing, enabling efficient and reliable automation
of repetitive test tasks. However, existing generation
approaches often encounter limitations, such as difficulties in
accurately capturing and reproducing test scripts across diverse
devices, platforms, and applications. These challenges arise
due to differences in screen sizes, input modalities, platform
behaviors, API inconsistencies, and application architectures.
Overcoming these limitations is crucial for achieving robust
and comprehensive test automation.
By leveraging the capabilities of LLMs, we aim to address
these challenges and explore its potential as a versatile tool
for test automation. We investigate how well LLMs can adapt
to diverse devices and systems while accurately capturing and
generating test scripts. Additionally, we evaluate its crossplatform
generation capabilities by assessing its ability to
handle operating system variations and platform-specific behaviors.
Furthermore, we explore the application of LLMs
in cross-app migration, where it generates test scripts across
different applications and software environments based on
existing scripts.
Throughout the investigation, we analyze its adaptability to
various user interfaces, app architectures, and interaction patterns,
ensuring accurate script generation and compatibility.
The findings of this research contribute to the understanding of
LLMs’ capabilities in test automation. Ultimately, this research
aims to enhance software testing practices, empowering app
developers to achieve higher levels of software quality and
development efficiency.";High-Level Test Gen;Pure Prompting;Alone;Tool/Approach;Functional;;Custom;GPT-Family;;
P059;A Retrospective on Whole Test Suite Generation: On the Role of SBST in the Age of LLMs;2025.0;Fraser2025;J: TSE;Journal;"@article{Fraser2025,
 title = {A Retrospective on Whole Test Suite Generation: On the Role of SBST in the Age of LLMs},
 author = {Fraser, Gordon and Arcuri, Andrea},
 journal = {IEEE Transactions on Software Engineering},
 month = {},
 year = {2025},
 volume = {51},
 number = {3},
 pages = {874-878},
 address = {},
 publisher = {Institute of Electrical and Electronics Engineers Inc.},
 doi = {10.1109/TSE.2025.3539458},
 url = {https://doi.org/10.1109/TSE.2025.3539458}
 }";Orig;survey;"This paper presents a retrospective of the article
“Whole Test Suite Generation”, published in the IEEE Transactions on Software Engineering, in 2012. We summarize its
main contributions, and discuss how this work impacted the
research field of Search-Based Software Testing (SBST) in the
last 12 years. The novel techniques presented in the paper were
implemented in the tool EvoSuite, which has been so far the
state-of-the-art in unit test generation for Java programs using
SBST. SBST has shown practical and impactful applications,
creating the foundations to open the doors to tackle several other
software testing problems besides unit testing, like for example
system testing of Web APIs with EvoMaster. We conclude our
retrospective with our reflections on what lies ahead, especially
considering the important role that SBST still plays even in the
age of Large Language Models (LLMs).";Reflections;;;;;;;;;
P060;Advancing Code Coverage: Incorporating Program Analysis with Large Language Model;2025.0;ChenTOSEM2024;J: TOSEM;Journal;"@article{ChenTOSEM2024,
 title = {Advancing Code Coverage: Incorporating Program Analysis with Large Language Models},
 author = {Yang, Chen and Chen, Junjie and Lin, Bin and Wang, Ziqi and Zhou, Jianyi},
 journal = {ACM Trans. Softw. Eng. Methodol.},
 volume = {0},
 number = {0},
 pages = {},
 year = {2025},
 publisher = {Association for Computing Machinery},
 doi = {10.1145/3748505},
 url = {https://doi.org/10.1145/3748505},
 note = {Just Accepted}
 }";Orig;research contribution;Automatic test generation plays a critical role in software quality assurance. While the recent advances in SearchBased Software Testing (SBST) and Large Language Models (LLMs) have shown promise in generating useful tests, these techniques still struggle to cover certain branches. Reaching these hard-to-cover branches usually requires constructing complex objects and resolving intricate inter-procedural dependencies in branch conditions, which poses significant challenges for existing techniques. In this work, we propose TELPA, a novel technique aimed at addressing these challenges. Its key insight lies in extracting real usage scenarios of the target method under test to learn how to construct complex objects and extracting methods entailing inter-procedural dependencies with hard-tocover branches to learn the semantics of branch constraints. To enhance efficiency and effectiveness, TELPA identifies a set of ineffective tests as counter-examples for LLMs and employs a feedback-based process to iteratively refine these counterexamples. Then, TELPA integrates program analysis results and counter-examples into the prompt, guiding LLMs to gain deeper understandings of the semantics of the target method and generate diverse tests that can reach the hard-to-cover branches. Our experimental results on 27 open-source Python projects demonstrate that TELPA significantly outperforms the state-ofthe-art SBST and LLM-based techniques, achieving an average improvement of 31.39% and 22.22% in terms of branch coverage;Unit Test Generation;Hybrid Prompting;Alone;Tool/Approach;Functional;;Pynguin, BugsInPy;CodeLlama;Test Coverage;
P061;Large Language Model assisted Hybrid Fuzzing;2024.0;Meng2024;arXiv;arXiv;"@misc{Meng2024,
 title = {Large Language Model assisted Hybrid Fuzzing},
 author = {Ruijie Meng and Gregory J. Duck and Abhik Roychoudhury},
 archivePrefix = {arXiv Preprint},
 year = {2024},
 publisher = {arXiv},
 doi = {10.48550/arXiv.2412.15931},
 url = {https://doi.org/10.48550/arXiv.2412.15931}
 }";Orig;research contribution;"Greybox fuzzing is one of the most popular methods for detecting software vulnerabilities, which conducts a biased random search within the program input space. To enhance its effectiveness in achieving deep coverage of program behaviors, greybox fuzzing is often combined with concolic execution, which performs a path-sensitive search over the domain of program inputs. In hybrid fuzzing, conventional greybox fuzzing is followed by concolic execution in an iterative loop, where reachability roadblocks encountered by greybox fuzzing are tackled by concolic execution. However, such hybrid fuzzing still suffers from difficulties conventionally faced by symbolic execution, such as the need for environment modeling and system call support. In this work, we show how to achieve the effect of concolic execution without having to compute and solve symbolic path constraints. When coverage-based greybox fuzzing reaches a roadblock in terms of reaching certain branches, we conduct a slicing on the execution trace and suggest modifications of the input to reach the relevant branches. A Large Language Model (LLM) is used as a solver to generate the modified input for reaching the desired branches. Compared with both the vanilla greybox fuzzer AFL and hybrid fuzzers Intriguer and Qsym, our LLM-based hybrid fuzzer HyLLfuzz (pronounced ""hill fuzz"") demonstrates superior coverage. Furthermore, the LLM-based concolic execution in HyLLfuzz takes a time that is 4-19 times faster than the concolic execution running in existing hybrid fuzzing tools. This experience shows that LLMs can be effectively inserted into the iterative loop of hybrid fuzzers, to efficiently expose more program behaviors.";Test Augmentation or Improvement;Hybrid Prompting;Alone;Tool/Approach;Functional;;Other;GPT-Family;Test Coverage, Execution Time;HyLLfuzz
P062;Do LLMs generate test oracles that capture the actual or the expected program behaviour?;2024.0;Konstantinou2024;arXiv;arXiv;"@misc{Konstantinou2024,
 title = {Do LLMs generate test oracles that capture the actual or the expected program behaviour?},
 author = {Michael Konstantinou and Renzo Degiovanni and Mike Papadakis},
 archivePrefix = {arXiv Preprint},
 year = {2024},
 publisher = {arXiv},
 doi = {10.48550/arXiv.2410.21136},
 url = {https://doi.org/10.48550/arXiv.2410.21136}
 }";Orig;survey;—Software testing is an essential part of the software development cycle to improve the code quality. Typically, a unit test consists of a test prefix and a test oracle which captures the developer’s intended behaviour. A known limitation of traditional test generation techniques (e.g. Randoop and Evosuite) is that they produce test oracles that capture the actual program behaviour rather than the expected one. Recent approaches leverage Large Language Models (LLMs), trained on an enormous amount of data, to generate developer-like code and test cases. We investigate whether the LLM-generated test oracles capture the actual or expected software behaviour. We thus, conduct a controlled experiment to answer this question, by studying LLMs performance on two tasks, namely, test oracle classification and generation. The study includes developerwritten and automatically generated test cases and oracles for 24 open-source Java repositories, and different well tested prompts. Our findings show that LLM-based test generation approaches are also prone on generating oracles that capture the actual program behaviour rather than the expected one. Moreover, LLMs are better at generating test oracles rather than classifying the correct ones, and can generate better test oracles when the code contains meaningful test or variable names. Finally, LLMgenerated test oracles have higher fault detection potential than the Evosuite ones;Oracle Generation;Pure Prompting;Alone;Tool/Approach;Functional;;GitBug, Other;GPT-Family;Other, Mutation Rate;-
